,max_depth,max_features,min_samples_split,n_estimators,random_state
0.26858903151593344,3,0.3,2,50,1
0.26455843771447923,3,0.3,2,50,4
0.26418632313638135,3,0.3,2,50,5
0.26912521322094773,3,0.3,2,50,6
0.26899012670684547,3,0.3,2,50,9
0.26348666226266027,3,0.3,2,50,10
0.263694638802828,3,0.3,2,50,12
0.2653849515069464,3,0.3,2,50,13
0.2641326559126478,3,0.3,2,50,15
0.26678757088306265,3,0.3,2,50,16
0.2611081368419008,3,0.3,2,50,17
0.2699982500623562,3,0.3,2,50,18
0.25955908031471164,3,0.3,2,50,20
0.26398148544310107,3,0.3,2,50,24
0.26789024604065254,3,0.3,2,50,25
0.261798622451551,3,0.3,2,50,26
0.2583326326089828,3,0.3,2,50,28
0.26399986865788505,3,0.3,2,50,29
0.26601191324098183,3,0.3,2,50,30
0.2546057924324752,3,0.3,2,50,31
0.25864730447095186,3,0.3,2,50,32
0.26468525636285073,3,0.3,2,50,33
0.254644816675442,3,0.3,2,50,34
0.2608352818360599,3,0.3,2,50,35
0.2621055740309823,3,0.3,2,50,38
0.268357414882914,3,0.3,2,50,39
0.2637240923940998,3,0.3,2,50,40
0.26618000017204624,3,0.3,2,50,41
0.2620290421873281,3,0.3,2,50,43
0.25978580029291454,3,0.3,2,50,46
0.26525166843720915,3,0.3,2,50,47
0.26711962524166727,3,0.3,2,50,48
0.259958201319682,3,0.3,2,50,49
0.26596675132788306,3,0.3,2,50,50
0.2682197808520126,3,0.3,2,60,2
0.2613324244163005,3,0.3,2,60,4
0.26194604450208764,3,0.3,2,60,5
0.2687280931971844,3,0.3,2,60,6
0.26460355405694685,3,0.3,2,60,10
0.266520231048298,3,0.3,2,60,12
0.2660978685123545,3,0.3,2,60,13
0.2675549123322384,3,0.3,2,60,15
0.2635463892590385,3,0.3,2,60,16
0.26304765571870403,3,0.3,2,60,17
0.2595836661947712,3,0.3,2,60,20
0.26323415587705207,3,0.3,2,60,24
0.26557096078891634,3,0.3,2,60,25
0.2624508817478501,3,0.3,2,60,26
0.2690382655523232,3,0.3,2,60,27
0.25837823687599504,3,0.3,2,60,28
0.26696539173171224,3,0.3,2,60,29
0.26205519406139866,3,0.3,2,60,30
0.2556131703444116,3,0.3,2,60,31
0.2566395796179565,3,0.3,2,60,32
0.26424951480773223,3,0.3,2,60,33
0.25932072703783643,3,0.3,2,60,34
0.2631453187880652,3,0.3,2,60,35
0.26687698286818473,3,0.3,2,60,37
0.2614665819177501,3,0.3,2,60,38
0.2652645084287885,3,0.3,2,60,39
0.2657282718268112,3,0.3,2,60,40
0.2656273810664482,3,0.3,2,60,41
0.26833589475305325,3,0.3,2,60,42
0.2604375777683871,3,0.3,2,60,43
0.2662719403641044,3,0.3,2,60,44
0.2693734332677622,3,0.3,2,60,45
0.26352600883344957,3,0.3,2,60,46
0.2665977294426249,3,0.3,2,60,47
0.26595129663324424,3,0.3,2,60,48
0.2571750172539324,3,0.3,2,60,49
0.2660432679165546,3,0.3,2,60,50
0.268014147367783,3,0.3,3,50,1
0.26763487896975036,3,0.3,3,50,3
0.26610892864892904,3,0.3,3,50,4
0.2632910349041591,3,0.3,3,50,5
0.2683178236135098,3,0.3,3,50,6
0.2694771948958187,3,0.3,3,50,8
0.26719281054982036,3,0.3,3,50,9
0.261226143315175,3,0.3,3,50,10
0.2627720119846813,3,0.3,3,50,12
0.26386960140663235,3,0.3,3,50,13
0.26413303484916834,3,0.3,3,50,15
0.2656738606180988,3,0.3,3,50,16
0.2614576384489885,3,0.3,3,50,17
0.2686151593111065,3,0.3,3,50,18
0.26375242828301576,3,0.3,3,50,20
0.2695561260385845,3,0.3,3,50,22
0.2593022065565987,3,0.3,3,50,24
0.26863607238494075,3,0.3,3,50,25
0.2625357579292626,3,0.3,3,50,26
0.25877389495496383,3,0.3,3,50,28
0.2633404420760915,3,0.3,3,50,29
0.26340983143926827,3,0.3,3,50,30
0.2563131347565121,3,0.3,3,50,31
0.2579178589985462,3,0.3,3,50,32
0.2658234707495738,3,0.3,3,50,33
0.255195434212304,3,0.3,3,50,34
0.26151269377776687,3,0.3,3,50,35
0.2646305187771505,3,0.3,3,50,38
0.26812176771236385,3,0.3,3,50,39
0.2663868688578982,3,0.3,3,50,40
0.2633337535623381,3,0.3,3,50,41
0.26087775288320036,3,0.3,3,50,43
0.2623368823886479,3,0.3,3,50,46
0.2659338121851798,3,0.3,3,50,47
0.26717196791474596,3,0.3,3,50,48
0.2623310208421894,3,0.3,3,50,49
0.26570201590353226,3,0.3,3,50,50
0.26993179560883024,3,0.3,3,60,1
0.2689629336199153,3,0.3,3,60,2
0.2677705217846897,3,0.3,3,60,3
0.26199021168424363,3,0.3,3,60,4
0.261831387803022,3,0.3,3,60,5
0.2679410699656091,3,0.3,3,60,6
0.26960306118965305,3,0.3,3,60,7
0.2696234875792329,3,0.3,3,60,8
0.26397630221584717,3,0.3,3,60,10
0.2653847910328617,3,0.3,3,60,12
0.2642450994316819,3,0.3,3,60,13
0.2679865644222136,3,0.3,3,60,15
0.2632700730210941,3,0.3,3,60,16
0.26307224041102545,3,0.3,3,60,17
0.2690622740976368,3,0.3,3,60,18
0.26252228230885805,3,0.3,3,60,20
0.2683763106397608,3,0.3,3,60,22
0.25937463665060867,3,0.3,3,60,24
0.2671632294963605,3,0.3,3,60,25
0.26313876129938213,3,0.3,3,60,26
0.2697391258325089,3,0.3,3,60,27
0.25844120761309813,3,0.3,3,60,28
0.2658776178166628,3,0.3,3,60,29
0.26000556646272543,3,0.3,3,60,30
0.2575560473639319,3,0.3,3,60,31
0.2561792549040962,3,0.3,3,60,32
0.2671101813789994,3,0.3,3,60,33
0.2587694815663942,3,0.3,3,60,34
0.2632176521123616,3,0.3,3,60,35
0.26361181981338994,3,0.3,3,60,37
0.26231965799258666,3,0.3,3,60,38
0.26534991732063373,3,0.3,3,60,39
0.267752808217278,3,0.3,3,60,40
0.26413424026768406,3,0.3,3,60,41
0.26704746761824416,3,0.3,3,60,42
0.26030351393775597,3,0.3,3,60,43
0.26567424616316065,3,0.3,3,60,44
0.2681000328050882,3,0.3,3,60,45
0.26497252810980637,3,0.3,3,60,46
0.2659965339311815,3,0.3,3,60,47
0.26481856949480526,3,0.3,3,60,48
0.2590163666442516,3,0.3,3,60,49
0.2669622682220884,3,0.3,3,60,50
0.25879749297784194,3,0.5,2,50,2
0.2664825765130431,3,0.5,2,50,4
0.2661570912172566,3,0.5,2,50,5
0.2681452641254351,3,0.5,2,50,6
0.2695796454469729,3,0.5,2,50,7
0.26754322818562976,3,0.5,2,50,10
0.2648187399051685,3,0.5,2,50,11
0.2659689146941631,3,0.5,2,50,12
0.26271130626879036,3,0.5,2,50,13
0.2697043306426527,3,0.5,2,50,14
0.2613946736574377,3,0.5,2,50,15
0.2543263083973857,3,0.5,2,50,17
0.2685185338559753,3,0.5,2,50,18
0.2620069901626941,3,0.5,2,50,20
0.25977393543329474,3,0.5,2,50,24
0.26320761778827667,3,0.5,2,50,25
0.2656043029501748,3,0.5,2,50,26
0.26104958980413684,3,0.5,2,50,31
0.2645240887152535,3,0.5,2,50,32
0.26833352011379424,3,0.5,2,50,33
0.26865700823817884,3,0.5,2,50,34
0.2675800177290334,3,0.5,2,50,35
0.2651615743195901,3,0.5,2,50,36
0.26727361597949717,3,0.5,2,50,40
0.2595334568809296,3,0.5,2,50,43
0.26655813606781376,3,0.5,2,50,44
0.2628359707826765,3,0.5,2,50,46
0.2627661841958229,3,0.5,2,50,47
0.26288717362171726,3,0.5,2,50,49
0.263696429820565,3,0.5,2,50,50
0.2565042126162522,3,0.5,2,60,2
0.26291274955864175,3,0.5,2,60,4
0.26929042890813976,3,0.5,2,60,5
0.26771338150304097,3,0.5,2,60,6
0.2695468486490813,3,0.5,2,60,8
0.26750347476699476,3,0.5,2,60,10
0.2614592273226225,3,0.5,2,60,11
0.26787549190438587,3,0.5,2,60,12
0.26194195975994033,3,0.5,2,60,13
0.2667333625720684,3,0.5,2,60,14
0.26363603159549875,3,0.5,2,60,15
0.2674939334405441,3,0.5,2,60,16
0.2579431166333289,3,0.5,2,60,17
0.26906817971746544,3,0.5,2,60,18
0.2624166946974063,3,0.5,2,60,20
0.25933995403452,3,0.5,2,60,24
0.2628915835122754,3,0.5,2,60,25
0.26497310777935923,3,0.5,2,60,26
0.2660841740232725,3,0.5,2,60,31
0.26505109496961843,3,0.5,2,60,32
0.26788489673491067,3,0.5,2,60,33
0.26702055513820133,3,0.5,2,60,36
0.2694583622132069,3,0.5,2,60,38
0.2660026235068426,3,0.5,2,60,40
0.2605545616032168,3,0.5,2,60,43
0.26254343486684495,3,0.5,2,60,44
0.26235335815924654,3,0.5,2,60,46
0.2642342619035881,3,0.5,2,60,47
0.2606967986948947,3,0.5,2,60,49
0.26436341388464907,3,0.5,2,60,50
0.2586282114842795,3,0.5,3,50,2
0.26382105991731897,3,0.5,3,50,4
0.265555204137774,3,0.5,3,50,5
0.26892294256848387,3,0.5,3,50,8
0.2676294786006534,3,0.5,3,50,10
0.2666287790303369,3,0.5,3,50,11
0.26403525058061084,3,0.5,3,50,12
0.261196756854426,3,0.5,3,50,13
0.25980485776975293,3,0.5,3,50,15
0.25410248869203417,3,0.5,3,50,17
0.2672078087187691,3,0.5,3,50,18
0.2682679273848831,3,0.5,3,50,19
0.26498672691744507,3,0.5,3,50,20
0.26129596743954714,3,0.5,3,50,24
0.26246106752996007,3,0.5,3,50,25
0.2643180181094968,3,0.5,3,50,26
0.2608367915250146,3,0.5,3,50,31
0.26543035667652487,3,0.5,3,50,32
0.2668757419038205,3,0.5,3,50,33
0.26731583431989997,3,0.5,3,50,34
0.2665316584726195,3,0.5,3,50,36
0.2696121975944156,3,0.5,3,50,40
0.2600985712420263,3,0.5,3,50,43
0.2694937221360378,3,0.5,3,50,44
0.26205754726723485,3,0.5,3,50,46
0.2658596764745228,3,0.5,3,50,47
0.2658665702702894,3,0.5,3,50,49
0.26515713257700807,3,0.5,3,50,50
0.25603587982710435,3,0.5,3,60,2
0.2610506682235,3,0.5,3,60,4
0.2685256600542816,3,0.5,3,60,5
0.2695318776690075,3,0.5,3,60,7
0.2669677737521618,3,0.5,3,60,8
0.26826034958568146,3,0.5,3,60,10
0.26387006712879296,3,0.5,3,60,11
0.2656745765347723,3,0.5,3,60,12
0.26128472985473156,3,0.5,3,60,13
0.2685664918320149,3,0.5,3,60,14
0.26210206981925616,3,0.5,3,60,15
0.26924742695929194,3,0.5,3,60,16
0.25701776118726444,3,0.5,3,60,17
0.26697011828660533,3,0.5,3,60,18
0.26791023197407754,3,0.5,3,60,19
0.26543796549738835,3,0.5,3,60,20
0.26026693003334966,3,0.5,3,60,24
0.26129185864327414,3,0.5,3,60,25
0.2635343221506483,3,0.5,3,60,26
0.2676803771478912,3,0.5,3,60,30
0.26600071520700974,3,0.5,3,60,31
0.26528530922334254,3,0.5,3,60,32
0.26650830715597845,3,0.5,3,60,33
0.2681326423427388,3,0.5,3,60,36
0.2695777357638377,3,0.5,3,60,38
0.2690686863185035,3,0.5,3,60,40
0.2699193753654243,3,0.5,3,60,41
0.2622140144910894,3,0.5,3,60,43
0.26450446940857913,3,0.5,3,60,44
0.26313241673848387,3,0.5,3,60,46
0.26628304287726634,3,0.5,3,60,47
0.2632946883612342,3,0.5,3,60,49
0.26626476475924193,3,0.5,3,60,50
0.2678006773849133,4,0.3,2,50,1
0.2675052806094189,4,0.3,2,50,2
0.2660737079655182,4,0.3,2,50,3
0.2584803499404306,4,0.3,2,50,4
0.26094016033222606,4,0.3,2,50,5
0.26386097652829454,4,0.3,2,50,6
0.26521364809572606,4,0.3,2,50,7
0.26752813829899136,4,0.3,2,50,8
0.25888811436660664,4,0.3,2,50,9
0.2595261953496902,4,0.3,2,50,10
0.26674852224336626,4,0.3,2,50,12
0.26466525367691085,4,0.3,2,50,13
0.2653644866704613,4,0.3,2,50,15
0.2586902938566241,4,0.3,2,50,17
0.26399907230764946,4,0.3,2,50,18
0.26887701574030637,4,0.3,2,50,19
0.25726728645055374,4,0.3,2,50,20
0.26886241774790737,4,0.3,2,50,22
0.2627349789690975,4,0.3,2,50,23
0.2612449219873557,4,0.3,2,50,24
0.2533618884042696,4,0.3,2,50,25
0.25399221114305787,4,0.3,2,50,26
0.26517334362782957,4,0.3,2,50,27
0.25522342830300787,4,0.3,2,50,28
0.2593421004764522,4,0.3,2,50,29
0.26644539054509997,4,0.3,2,50,30
0.2519781881583843,4,0.3,2,50,31
0.2522838897121419,4,0.3,2,50,32
0.2648142025244453,4,0.3,2,50,33
0.2560996590968509,4,0.3,2,50,34
0.2619441678004662,4,0.3,2,50,35
0.269350784156666,4,0.3,2,50,36
0.26489966152451644,4,0.3,2,50,37
0.26075105552179423,4,0.3,2,50,38
0.25819255158856597,4,0.3,2,50,39
0.2635793916976354,4,0.3,2,50,40
0.2631244078925219,4,0.3,2,50,41
0.26252859784828797,4,0.3,2,50,43
0.26643521865655223,4,0.3,2,50,44
0.26849954552649935,4,0.3,2,50,45
0.26105015154042754,4,0.3,2,50,46
0.26534566414206373,4,0.3,2,50,48
0.24994848588654967,4,0.3,2,50,49
0.25955002642777947,4,0.3,2,50,50
0.26450049780511337,4,0.3,2,60,1
0.2654070566932906,4,0.3,2,60,2
0.2652480970907843,4,0.3,2,60,3
0.2532582799280717,4,0.3,2,60,4
0.2603381462631306,4,0.3,2,60,5
0.26143787658247525,4,0.3,2,60,6
0.2624839861839214,4,0.3,2,60,7
0.2657440972645163,4,0.3,2,60,8
0.26362919280904124,4,0.3,2,60,9
0.2633077890970637,4,0.3,2,60,10
0.2672416928467323,4,0.3,2,60,12
0.2668875888224133,4,0.3,2,60,13
0.26700583734839156,4,0.3,2,60,15
0.2662974710049912,4,0.3,2,60,16
0.2618344781306934,4,0.3,2,60,17
0.26461877285188845,4,0.3,2,60,18
0.2659834580478983,4,0.3,2,60,19
0.2600694546880008,4,0.3,2,60,20
0.2672581156130181,4,0.3,2,60,22
0.2637642900136563,4,0.3,2,60,23
0.2595783271419034,4,0.3,2,60,24
0.25438721038178846,4,0.3,2,60,25
0.25363369133422936,4,0.3,2,60,26
0.2627870975175691,4,0.3,2,60,27
0.25362102384291696,4,0.3,2,60,28
0.25944082040911776,4,0.3,2,60,29
0.26409025898067534,4,0.3,2,60,30
0.2567651668258727,4,0.3,2,60,31
0.254752850266776,4,0.3,2,60,32
0.26374329666449087,4,0.3,2,60,33
0.263152355441144,4,0.3,2,60,34
0.2618715143607083,4,0.3,2,60,35
0.2679303939252916,4,0.3,2,60,36
0.26129810420864635,4,0.3,2,60,37
0.25925570442960133,4,0.3,2,60,38
0.25628459799633574,4,0.3,2,60,39
0.2619383977852586,4,0.3,2,60,40
0.2639532985288594,4,0.3,2,60,41
0.2589132019419038,4,0.3,2,60,43
0.26356904615305454,4,0.3,2,60,44
0.2636276810549465,4,0.3,2,60,45
0.26310744735128183,4,0.3,2,60,46
0.26975072904153163,4,0.3,2,60,47
0.2638904729661343,4,0.3,2,60,48
0.2495469669760848,4,0.3,2,60,49
0.2599586474456793,4,0.3,2,60,50
0.26570694842901876,4,0.3,3,50,2
0.26571159054843835,4,0.3,3,50,3
0.2647866568437734,4,0.3,3,50,4
0.26036937291976986,4,0.3,3,50,5
0.2612396809907557,4,0.3,3,50,6
0.26575803101856665,4,0.3,3,50,7
0.2673371074072059,4,0.3,3,50,8
0.2560026845240854,4,0.3,3,50,9
0.2586317248760614,4,0.3,3,50,10
0.2659628952265572,4,0.3,3,50,12
0.26069306256654784,4,0.3,3,50,13
0.2637060067582215,4,0.3,3,50,15
0.2665832180544439,4,0.3,3,50,16
0.2599214746260717,4,0.3,3,50,17
0.26316386491107846,4,0.3,3,50,18
0.2597913758223737,4,0.3,3,50,20
0.26450621160529125,4,0.3,3,50,22
0.2650345484066398,4,0.3,3,50,23
0.2564566562926624,4,0.3,3,50,24
0.26197099148475483,4,0.3,3,50,25
0.2539591791415542,4,0.3,3,50,26
0.2645731901955871,4,0.3,3,50,27
0.26143183322416014,4,0.3,3,50,28
0.26610335025905757,4,0.3,3,50,29
0.2649215459917307,4,0.3,3,50,30
0.251885275777996,4,0.3,3,50,31
0.2534421587893432,4,0.3,3,50,32
0.2624665704059882,4,0.3,3,50,33
0.254864608892859,4,0.3,3,50,34
0.26403904694339214,4,0.3,3,50,35
0.26763926716567227,4,0.3,3,50,36
0.264009767729541,4,0.3,3,50,37
0.2619900167881522,4,0.3,3,50,38
0.2600419126971009,4,0.3,3,50,39
0.26400286489076424,4,0.3,3,50,40
0.2565741715883793,4,0.3,3,50,41
0.2595389356002501,4,0.3,3,50,43
0.26743322576520695,4,0.3,3,50,44
0.26768699026464426,4,0.3,3,50,45
0.26089954913951063,4,0.3,3,50,46
0.2628945258396187,4,0.3,3,50,47
0.2658136175530287,4,0.3,3,50,48
0.257103939409944,4,0.3,3,50,49
0.2589457805849979,4,0.3,3,50,50
0.26906218657330927,4,0.3,3,60,1
0.26406754342178423,4,0.3,3,60,2
0.2646797429447217,4,0.3,3,60,3
0.25927436270785964,4,0.3,3,60,4
0.261996775561841,4,0.3,3,60,5
0.26102603846181954,4,0.3,3,60,6
0.2650210154135114,4,0.3,3,60,7
0.26201849671574584,4,0.3,3,60,8
0.26186036562413406,4,0.3,3,60,9
0.26222904230157124,4,0.3,3,60,10
0.26388157237187393,4,0.3,3,60,12
0.26057347468869707,4,0.3,3,60,13
0.26917749059677193,4,0.3,3,60,14
0.2648823483679965,4,0.3,3,60,15
0.264766179585432,4,0.3,3,60,16
0.26116859678422427,4,0.3,3,60,17
0.2625694932026643,4,0.3,3,60,18
0.26940267749124724,4,0.3,3,60,19
0.26036843692420547,4,0.3,3,60,20
0.26431712217223885,4,0.3,3,60,22
0.26490069932816473,4,0.3,3,60,23
0.25567245569788355,4,0.3,3,60,24
0.2616327626183328,4,0.3,3,60,25
0.2528101195285258,4,0.3,3,60,26
0.2601599942043535,4,0.3,3,60,27
0.2566806598762663,4,0.3,3,60,28
0.26822410502874333,4,0.3,3,60,29
0.26286692286808594,4,0.3,3,60,30
0.2537416821892136,4,0.3,3,60,31
0.25400693889237785,4,0.3,3,60,32
0.2656921892386453,4,0.3,3,60,33
0.2597261021583813,4,0.3,3,60,34
0.26830971318794156,4,0.3,3,60,35
0.26640935440462954,4,0.3,3,60,36
0.26050564225962697,4,0.3,3,60,37
0.2608397488327385,4,0.3,3,60,38
0.26017578828052806,4,0.3,3,60,39
0.2647381021330309,4,0.3,3,60,40
0.25791742536782947,4,0.3,3,60,41
0.2572104674304757,4,0.3,3,60,43
0.2643740516725842,4,0.3,3,60,44
0.26492689996481955,4,0.3,3,60,45
0.2628731428683802,4,0.3,3,60,46
0.2623611534136852,4,0.3,3,60,47
0.262788328234708,4,0.3,3,60,48
0.2568492436464417,4,0.3,3,60,49
0.25739306691739516,4,0.3,3,60,50
0.25632389935613736,4,0.5,2,50,2
0.26137465806243443,4,0.5,2,50,4
0.26344419051866347,4,0.5,2,50,5
0.2680502417403482,4,0.5,2,50,6
0.2617486889973553,4,0.5,2,50,7
0.2687771998961045,4,0.5,2,50,8
0.2642869505316776,4,0.5,2,50,10
0.2594294836179388,4,0.5,2,50,11
0.26471873506218835,4,0.5,2,50,12
0.25624650843582647,4,0.5,2,50,13
0.26149792971604774,4,0.5,2,50,14
0.26762224291875997,4,0.5,2,50,15
0.2699160549417782,4,0.5,2,50,16
0.26217081284499777,4,0.5,2,50,17
0.2624590667457607,4,0.5,2,50,18
0.26383466964425156,4,0.5,2,50,20
0.2552801052101673,4,0.5,2,50,24
0.25798616057701484,4,0.5,2,50,25
0.2616318501361166,4,0.5,2,50,26
0.2667313085614286,4,0.5,2,50,28
0.2672435489625641,4,0.5,2,50,29
0.26328652334678426,4,0.5,2,50,30
0.25580851185352227,4,0.5,2,50,31
0.2615907575152384,4,0.5,2,50,32
0.26669176146328893,4,0.5,2,50,33
0.26163655897240007,4,0.5,2,50,34
0.2680650370654196,4,0.5,2,50,35
